time_sec;F_signal;F_signal_DNA
18360;199.2167749;198.1519149
18420;198.8031836;197.6311966
18480;199.4636305;196.5920846
18540;199.6173739;197.1453478
18600;199.1713015;196.8756901
18660;199.5415849;197.0058697
18720;198.9785809;197.67304
18780;199.4051647;197.4684721
18840;199.1171665;197.6707154
18900;199.0088965;197.2708781
18960;199.6866667;197.8729587
19020;198.5736512;197.1476725
19080;198.9157844;197.2569303
19140;198.891965;196.6618237
19200;198.9266114;197.3127216
19260;199.4441419;196.6455512
19320;198.8075144;196.461905
19380;198.72956;197.3592143
19440;198.6018014;196.5548905
19500;199.2037825;197.1360493
19560;198.3527804;196.6269541
19620;198.7533794;197.3382926
19680;199.3185487;197.2429825
19740;198.9612578;197.1802174
19800;199.2817369;197.2267101
19860;198.9850771;196.9431046
19920;199.0587007;196.7803801
19980;198.9980695;196.9477538
20040;199.2016171;196.8268728
20100;198.8075144;197.1197768
20160;198.5953052;196.3572964
20220;198.9374384;197.1476725
20280;198.5498318;197.1244261
20340;199.3142179;196.9779741
20400;199.2449251;197.277852
20460;199.0890163;197.1988144
20520;200.0179728;197.5684315
20580;198.7014098;197.3615389
20640;199.3488643;197.4150055
20700;199.775448;197.259255
20760;199.3683529;197.4521997
20820;199.9768302;197.724182
20880;199.4008339;197.5335619
20940;199.905372;197.4033823
21000;199.4289841;197.7218574
21060;199.4549689;198.0147614
21120;199.9963188;197.8683094
21180;200.0742732;197.475446
21240;199.3293757;197.0756088
21300;199.6217047;197.4684721
21360;199.2925639;197.552159
21420;199.7906058;198.2100308
21480;199.6325317;198.0426571
21540;200.6372771;198.0635788
21600;199.5719005;197.6962864
21660;199.6693435;197.7079096
21720;200.1608892;197.7381298
21780;199.3337065;197.7985703
21840;200.2020318;197.8427384
21900;199.6628473;197.9682687
21960;200.002815;198.3588075
22020;199.7906058;198.0961237
22080;200.208528;198.11937
22140;199.4939461;198.02406
22200;199.5091039;197.3685128
22260;199.0955125;197.9891904
22320;200.5095186;198.2751206
22380;199.6260355;198.1286686
22440;199.9768302;197.9333992
22500;199.0522045;197.9682687
22560;199.5177655;197.0453885
22620;199.8534024;197.5637822
22680;199.764621;197.3731621
22740;200.132739;197.775324
22800;199.6996591;197.9705934
22860;199.3813453;197.4545243
22920;199.7949366;197.2313593
22980;199.8858834;197.6823386
23040;199.7451325;197.8171674
23100;199.5589081;198.1123961
